Year,Population (Millions)
2000,2.896
2001,2.895
2002,2.881
2003,2.866
2004,2.849
2005,2.825
2006,2.806
2007,2.811
2008,2.83
2009,2.851
2010,2.698
2011,2.705
2012,2.714
2013,2.719
2014,2.719
2015,2.714
2016,2.705
2017,2.732
2018,2.732
